link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/%D8%A7%D8%B4%D8%B1%D9%81%DB%8C-%D8%A8%D8%A7%D9%84%D8%A7%DB%8C-%D9%86%DB%8C%D8%A7%DB%8C%D8%B4-%DB%B7%DB%B8%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84/QahSlhDb,78,1381,2,785420,,12000000000,153846000,1,0,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B2%DB%B5%D9%85%D8%AA%D8%B1-%D8%AF%D9%88%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%84%DB%8C%D8%AF-%D9%86%D8%AE%D9%88%D8%B1%D8%AF%D9%87-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%AA%D8%A7%D9%BE-%D9%84%D9%88%DA%A9%DB%8C%D8%B4%D9%86-%D9%BE%D9%88%D9%86%DA%A9/QacWBe-l,125,1403,2,61101532,,24400000000,195200000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B0%D9%85%D8%AA%D8%B1-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9-%D8%B2%DB%8C%D8%B1-%D9%82%DB%8C%D9%85%D8%AA/QahudkgH,130,1390,3,1,,24350000000,187307000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B1%DB%B5-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D8%B4%D8%B1%D9%82%DB%8C/QaeOb_eE,115,1402,2,11511529,پونک,30000000000,260869000,1,1,1,0,0,0,1,0,0
https://divar.ir/v/%DB%B9%DB%B5-%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1-%D8%AE%D8%B7%DB%8C-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QahSmxOR,95,1392,2,9525232,پونک,17200000000,181052000,1,1,0,1,1,1,0,0,1
https://divar.ir/v/%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B3%DB%B1%DB%B0%D9%85%D8%AA%D8%B1%DB%B4%D8%AE-%D8%B3%D9%88%D9%BE%D8%B1%D9%84%D8%A7%DA%A9%DA%86%D8%B1%DB%8C-%D9%BE%D9%88%D9%86%DA%A9-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QaTOQNeG,310,1403,4,34,پونک,87000000000,280645000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%D8%B3%D8%B1%D8%AF%D8%A7%D8%B1%D8%AC%D9%86%DA%AF%D9%84-%DB%B1%DB%B1%DB%B4%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%B7%DB%B5/QacKQfdM,114,1397,2,56,,27000000000,236842000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B8-%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A2%D8%A8%DB%8C-%DB%B2-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%B3%D9%86%D8%AF%DB%8C/QaL2ku48,98,1393,2,28,,26200000000,267346000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/117%D9%85%D8%AA%D9%80%D8%B1-%D9%85%D8%AE%D8%AA%D8%B5-%D9%85%D8%B4%DA%A9%D9%84-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86-%D8%A8%D9%80%D8%B1%D8%AC-%D8%A8%D9%80%D8%A7%D8%BA-%DA%A9%D8%A7%D9%85%D9%80%DB%8C%D9%84%D8%A7/QaFURy0d,117,1404,2,10,,310000,2000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B1%DB%B3%DB%B0%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C-%DB%B3%D8%AE%D9%88%D8%A7%D8%A8-%D8%B9%D8%AF%D9%84-%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9/QaAe2LX-,130,1390,3,1303204,,24000000000,184615000,1,1,1,0,0,0,0,0,0
