link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/130-%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D9%85%D8%B4%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1-%D8%B3%D9%88%D9%86%D8%A7-%D8%AC%DA%A9%D9%88%D8%B2%DB%8C-%D9%87%D9%85%DB%8C%D9%84%D8%A7/QahiaRuN,130,1400,3,9.0,پونک,42000000000,323076923.0769231,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%B1%D9%88%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8-%DB%B9%DB%B7-%D9%85%D8%AA%D8%B1-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/Qah-l9zN,97,1392,2,35.0,پونک,17300000000,178350515.46391752,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%DB%B8%DB%B2%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D9%87-%D9%82%DB%8C%D9%85%D8%AA-%D8%B1%D8%B3%DB%8C%D8%AF%D9%87-%D9%81%D8%B1%D9%88%D8%B4%D9%86%D8%AF%D9%87-%D9%88%D8%A7%D9%82%D8%B9%DB%8C/QaVanSX9,82,1382,2,34.0,پونک,14000000000,170731707.31707317,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B8%DB%B5%D9%85%D8%AA%D8%B1-%D8%A7%D8%B4%D8%B1%D9%81%DB%8C-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%DB%8C-%D8%AA%D8%B1%D8%A7%D9%88%D8%B1%D8%AA%D9%86-%D8%B1%D9%88-%D8%A8%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8/Qaha2o0S,85,1394,2,35.0,پونک,17650000000,207647058.82352942,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9-%DB%B8%DB%B8%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/QafSgQ4_,88,1391,2,2.0,پونک,18000000000,204545454.54545453,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B7%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D9%BE%D9%88%D9%86%DA%A9-%D8%A7%D8%B1%D8%B2%D9%86%D8%AF%D9%87/Qagq1wId,70,1390,2,1.0,پونک,13950000000,199285714.2857143,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8/Qa5tsySi,80,1398,2,15.0,پونک,20150000000,251875000.0,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D8%B4%D8%B1%D9%82%DB%8C-%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/Qae-PiTw,80,1394,2,2.0,پونک,20000000000,250000000.0,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AE%D9%88%D8%B4-%D9%86%D9%82%D8%B4%D9%87-%D9%88%DB%8C%D9%88%D8%AF%D8%A7%D8%B1-%D8%A8%DB%8C%D9%86-%D8%B9%D8%AF%D9%84-%D9%88%D8%B3%D8%B1%D8%AF%D8%A7%D8%B1/Qa9VJPwy,90,1397,2,4.0,پونک,20000000000,222222222.2222222,1,1,1,0,0,0,1,0,1
https://divar.ir/v/%D9%BE%D9%88%D9%86%DA%A9-%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%DB%B1%DB%B1%DB%B5-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF%DB%8C/QaWeObKs,115,1390,2,35.0,پونک,30500000000,265217391.3043478,1,1,1,0,0,0,0,0,0
